episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-234.00,-234.00,1,0.9950,34,-234.00
2,-234.00,-234.00,2,0.9900,34,-234.00
3,-258.00,-242.00,3,0.9851,58,-234.00
4,98.00,-157.00,3,0.9801,2,-157.00
5,-234.00,-172.40,4,0.9752,34,-157.00
6,-234.00,-182.67,5,0.9704,34,-157.00
7,64.00,-147.43,5,0.9655,36,-147.43
8,70.00,-120.25,5,0.9607,30,-120.25
9,-234.00,-132.89,6,0.9559,34,-120.25
10,96.00,-110.00,6,0.9511,4,-110.00
11,88.00,-92.00,6,0.9464,12,-92.00
12,-307.00,-109.92,7,0.9416,107,-92.00
13,96.00,-94.08,7,0.9369,4,-92.00
14,-234.00,-104.07,8,0.9322,34,-92.00
15,-256.00,-114.20,9,0.9276,56,-92.00
16,94.00,-101.19,9,0.9229,6,-92.00
17,-234.00,-109.00,10,0.9183,34,-92.00
18,74.00,-98.83,10,0.9137,26,-92.00
19,-234.00,-105.95,11,0.9092,34,-92.00
20,-234.00,-112.35,12,0.9046,34,-92.00
21,-234.00,-118.14,13,0.9001,34,-92.00
22,-234.00,-123.41,14,0.8956,34,-92.00
23,-234.00,-128.22,15,0.8911,34,-92.00
24,93.00,-119.00,15,0.8867,7,-92.00
25,84.00,-110.88,15,0.8822,16,-92.00
26,98.00,-102.85,15,0.8778,2,-92.00
27,-234.00,-107.70,16,0.8734,34,-92.00
28,-234.00,-112.21,17,0.8691,34,-92.00
29,-234.00,-116.41,18,0.8647,34,-92.00
30,45.00,-111.03,18,0.8604,55,-92.00
31,78.00,-104.94,18,0.8561,22,-92.00
32,97.00,-98.62,18,0.8518,3,-92.00
33,-234.00,-102.73,19,0.8475,34,-92.00
34,-317.00,-109.03,20,0.8433,117,-92.00
35,-234.00,-112.60,21,0.8391,34,-92.00
36,-234.00,-115.97,22,0.8349,34,-92.00
37,-234.00,-119.16,23,0.8307,34,-92.00
38,-234.00,-122.18,24,0.8266,34,-92.00
39,86.00,-116.85,24,0.8224,14,-92.00
40,-252.00,-120.22,25,0.8183,52,-92.00
41,-309.00,-124.83,26,0.8142,109,-92.00
42,71.00,-120.17,26,0.8102,29,-92.00
43,-256.00,-123.33,27,0.8061,56,-92.00
44,-264.00,-126.52,28,0.8021,64,-92.00
45,-295.00,-130.27,29,0.7981,95,-92.00
46,-295.00,-133.85,30,0.7941,95,-92.00
47,92.00,-129.04,30,0.7901,8,-92.00
48,-293.00,-132.46,31,0.7862,93,-92.00
49,-234.00,-134.53,32,0.7822,34,-92.00
50,93.00,-129.98,32,0.7783,7,-92.00
51,-234.00,-132.02,33,0.7744,34,-92.00
52,97.00,-127.62,33,0.7705,3,-92.00
53,81.00,-123.68,33,0.7667,19,-92.00
54,81.00,-119.89,33,0.7629,19,-92.00
55,98.00,-115.93,33,0.7590,2,-92.00
56,-234.00,-118.04,34,0.7553,34,-92.00
57,-234.00,-120.07,35,0.7515,34,-92.00
58,-234.00,-122.03,36,0.7477,34,-92.00
59,-242.00,-124.07,37,0.7440,42,-92.00
60,-234.00,-125.90,38,0.7403,34,-92.00
61,87.00,-122.41,38,0.7366,13,-92.00
62,-150.00,-122.85,38,0.7329,150,-92.00
63,6.00,-120.81,38,0.7292,94,-92.00
64,-264.00,-123.05,39,0.7256,64,-92.00
65,88.00,-119.80,39,0.7219,12,-92.00
66,-150.00,-120.26,39,0.7183,150,-92.00
67,-234.00,-121.96,40,0.7147,34,-92.00
68,-150.00,-122.37,40,0.7112,150,-92.00
69,92.00,-119.26,40,0.7076,8,-92.00
70,67.00,-116.60,40,0.7041,33,-92.00
71,-283.00,-118.94,41,0.7005,83,-92.00
72,-270.00,-121.04,42,0.6970,70,-92.00
73,93.00,-118.11,42,0.6936,7,-92.00
74,83.00,-115.39,42,0.6901,17,-92.00
75,95.00,-112.59,42,0.6866,5,-92.00
76,28.00,-110.74,42,0.6832,72,-92.00
77,87.00,-108.17,42,0.6798,13,-92.00
78,94.00,-105.58,42,0.6764,6,-92.00
79,99.00,-102.99,42,0.6730,1,-92.00
80,84.00,-100.65,42,0.6696,16,-92.00
81,-279.00,-102.85,43,0.6663,79,-92.00
82,-150.00,-103.43,43,0.6630,150,-92.00
83,81.00,-101.20,43,0.6597,19,-92.00
84,-234.00,-102.79,44,0.6564,34,-92.00
85,-150.00,-103.34,44,0.6531,150,-92.00
86,-261.00,-105.17,45,0.6498,61,-92.00
87,56.00,-103.32,45,0.6466,44,-92.00
88,67.00,-101.39,45,0.6433,33,-92.00
89,93.00,-99.20,45,0.6401,7,-92.00
90,-234.00,-100.70,46,0.6369,34,-92.00
91,97.00,-98.53,46,0.6337,3,-92.00
92,87.00,-96.51,46,0.6306,13,-92.00
93,97.00,-94.43,46,0.6274,3,-92.00
94,-234.00,-95.91,47,0.6243,34,-92.00
95,-295.00,-98.01,48,0.6211,95,-92.00
96,86.00,-96.09,48,0.6180,14,-92.00
97,55.00,-94.54,48,0.6149,45,-92.00
98,-279.00,-96.42,49,0.6119,79,-92.00
99,-234.00,-97.81,50,0.6088,34,-92.00
100,-234.00,-99.17,51,0.6058,34,-92.00
101,-333.00,-100.16,52,0.6027,133,-92.00
102,-266.00,-100.48,53,0.5997,66,-92.00
103,-150.00,-99.40,53,0.5967,150,-92.00
104,97.00,-99.41,53,0.5937,3,-92.00
105,79.00,-96.28,53,0.5908,21,-92.00
106,92.00,-93.02,53,0.5878,8,-92.00
107,-150.00,-95.16,53,0.5849,150,-92.00
108,27.00,-95.59,53,0.5820,73,-92.00
109,82.00,-92.43,53,0.5790,18,-92.00
110,99.00,-92.40,53,0.5762,1,-92.00
111,-270.00,-95.98,54,0.5733,70,-92.00
112,95.00,-91.96,54,0.5704,5,-91.96
113,88.00,-92.04,54,0.5676,12,-91.96
114,96.00,-88.74,54,0.5647,4,-88.74
115,67.00,-85.51,54,0.5619,33,-85.51
116,-150.00,-87.95,54,0.5591,150,-85.51
117,-150.00,-87.11,54,0.5563,150,-85.51
118,-150.00,-89.35,54,0.5535,150,-85.51
119,-150.00,-88.51,54,0.5507,150,-85.51
120,-150.00,-87.67,54,0.5480,150,-85.51
121,-12.00,-85.45,54,0.5452,112,-85.45
122,-150.00,-84.61,54,0.5425,150,-84.61
123,-150.00,-83.77,54,0.5398,150,-83.77
124,-150.00,-86.20,54,0.5371,150,-83.77
125,-234.00,-89.38,55,0.5344,34,-83.77
126,81.00,-89.55,55,0.5318,19,-83.77
127,-150.00,-88.71,55,0.5291,150,-83.77
128,-343.00,-89.80,56,0.5264,143,-83.77
129,99.00,-86.47,56,0.5238,1,-83.77
130,-234.00,-89.26,57,0.5212,34,-83.77
131,-150.00,-91.54,57,0.5186,150,-83.77
132,-150.00,-94.01,57,0.5160,150,-83.77
133,-150.00,-93.17,57,0.5134,150,-83.77
134,-234.00,-92.34,58,0.5108,34,-83.77
135,-343.00,-93.43,59,0.5083,143,-83.77
136,-150.00,-92.59,59,0.5058,150,-83.77
137,-150.00,-91.75,59,0.5032,150,-83.77
138,-264.00,-92.05,60,0.5007,64,-83.77
139,-287.00,-95.78,61,0.4982,87,-83.77
140,-150.00,-94.76,61,0.4957,150,-83.77
141,82.00,-90.85,61,0.4932,18,-83.77
142,98.00,-90.58,61,0.4908,2,-83.77
143,-150.00,-89.52,61,0.4883,150,-83.77
