episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-234.00,-234.00,1,0.9950,34,-234.00
2,97.00,-68.50,1,0.9900,3,-68.50
3,-234.00,-123.67,2,0.9851,34,-68.50
4,-234.00,-151.25,3,0.9801,34,-68.50
5,111.00,-98.80,3,0.9752,39,-68.50
6,-234.00,-121.33,4,0.9704,34,-68.50
7,95.00,-90.43,4,0.9655,5,-68.50
8,-250.00,-110.38,5,0.9607,50,-68.50
9,87.00,-88.44,5,0.9559,13,-68.50
10,79.00,-71.70,5,0.9511,21,-68.50
11,-234.00,-86.45,6,0.9464,34,-68.50
12,79.00,-72.67,6,0.9416,21,-68.50
13,70.00,-61.69,6,0.9369,30,-61.69
14,96.00,-50.43,6,0.9322,4,-50.43
15,79.00,-41.80,6,0.9276,21,-41.80
16,88.00,-33.69,6,0.9229,12,-33.69
17,91.00,-26.35,6,0.9183,9,-26.35
18,-287.00,-40.83,7,0.9137,87,-26.35
19,72.00,-34.89,7,0.9092,28,-26.35
20,-198.00,-43.05,8,0.9046,98,-26.35
21,82.00,-37.10,8,0.9001,18,-26.35
22,-235.00,-46.09,9,0.8956,135,-26.35
23,54.00,-41.74,9,0.8911,46,-26.35
24,84.00,-36.50,9,0.8867,16,-26.35
25,-234.00,-44.40,10,0.8822,34,-26.35
26,-211.00,-50.81,11,0.8778,61,-26.35
27,90.00,-45.59,11,0.8734,10,-26.35
28,-223.00,-51.93,12,0.8691,73,-26.35
29,98.00,-46.76,12,0.8647,2,-26.35
30,84.00,-42.40,12,0.8604,16,-26.35
31,-234.00,-48.58,13,0.8561,34,-26.35
32,-234.00,-54.38,14,0.8518,34,-26.35
33,99.00,-49.73,14,0.8475,1,-26.35
34,-234.00,-55.15,15,0.8433,34,-26.35
35,-273.00,-61.37,16,0.8391,73,-26.35
36,-210.00,-65.50,17,0.8349,60,-26.35
37,75.00,-61.70,17,0.8307,25,-26.35
38,-234.00,-66.24,18,0.8266,34,-26.35
39,95.00,-62.10,18,0.8224,5,-26.35
40,44.00,-59.45,18,0.8183,56,-26.35
41,-234.00,-63.71,19,0.8142,34,-26.35
42,89.00,-60.07,19,0.8102,11,-26.35
43,104.00,-56.26,19,0.8061,46,-26.35
44,-215.00,-59.86,20,0.8021,65,-26.35
45,-234.00,-63.73,21,0.7981,34,-26.35
46,-253.00,-67.85,22,0.7941,53,-26.35
47,-231.00,-71.32,23,0.7901,81,-26.35
48,-234.00,-74.71,24,0.7862,34,-26.35
49,-243.00,-78.14,25,0.7822,43,-26.35
50,111.00,-74.36,25,0.7783,39,-26.35
51,-269.00,-78.18,26,0.7744,69,-26.35
52,-234.00,-81.17,27,0.7705,34,-26.35
53,81.00,-78.11,27,0.7667,19,-26.35
54,92.00,-74.96,27,0.7629,8,-26.35
55,-271.00,-78.53,28,0.7590,71,-26.35
56,50.00,-76.23,28,0.7553,150,-26.35
57,-234.00,-79.00,29,0.7515,34,-26.35
58,79.00,-76.28,29,0.7477,71,-26.35
59,-234.00,-78.95,30,0.7440,34,-26.35
60,95.00,-76.05,30,0.7403,5,-26.35
61,50.00,-73.98,30,0.7366,150,-26.35
62,92.00,-71.31,30,0.7329,8,-26.35
63,95.00,-68.67,30,0.7292,55,-26.35
64,99.00,-66.05,30,0.7256,1,-26.35
65,-201.00,-68.12,31,0.7219,101,-26.35
66,121.00,-65.26,31,0.7183,79,-26.35
67,72.00,-63.21,31,0.7147,28,-26.35
68,98.00,-60.84,31,0.7112,2,-26.35
69,92.00,-58.62,31,0.7076,8,-26.35
70,79.00,-56.66,31,0.7041,21,-26.35
71,97.00,-54.49,31,0.7005,3,-26.35
72,-50.00,-54.43,31,0.6970,150,-26.35
73,-234.00,-56.89,32,0.6936,34,-26.35
74,-100.00,-57.47,32,0.6901,150,-26.35
75,-150.00,-58.71,32,0.6866,150,-26.35
76,98.00,-56.64,32,0.6832,2,-26.35
77,-270.00,-59.42,33,0.6798,70,-26.35
78,115.00,-57.18,33,0.6764,35,-26.35
79,79.00,-55.46,33,0.6730,21,-26.35
80,-234.00,-57.69,34,0.6696,34,-26.35
81,-100.00,-58.21,34,0.6663,150,-26.35
82,-150.00,-59.33,34,0.6630,150,-26.35
83,-50.00,-59.22,34,0.6597,150,-26.35
84,-287.00,-61.93,35,0.6564,87,-26.35
85,-234.00,-63.95,36,0.6531,34,-26.35
86,-50.00,-63.79,36,0.6498,150,-26.35
87,67.00,-62.29,36,0.6466,33,-26.35
