episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,31.00,31.00,0,0.9950,69,31.00
2,10.00,20.50,0,0.9900,90,31.00
3,64.00,35.00,0,0.9851,36,35.00
4,80.00,46.25,0,0.9801,20,46.25
5,-150.00,7.00,0,0.9752,150,46.25
6,-2.00,5.50,0,0.9704,102,46.25
7,-300.00,-38.14,1,0.9655,100,46.25
8,-150.00,-52.12,1,0.9607,150,46.25
9,-300.00,-79.67,2,0.9559,100,46.25
10,49.00,-66.80,2,0.9511,51,46.25
11,-17.00,-62.27,2,0.9464,117,46.25
12,15.00,-55.83,2,0.9416,85,46.25
13,-22.00,-53.23,2,0.9369,122,46.25
14,-150.00,-60.14,2,0.9322,150,46.25
15,11.00,-55.40,2,0.9276,89,46.25
16,-300.00,-70.69,3,0.9229,100,46.25
17,79.00,-61.88,3,0.9183,21,46.25
18,-22.00,-59.67,3,0.9137,122,46.25
19,-300.00,-72.32,4,0.9092,100,46.25
20,23.00,-67.55,4,0.9046,77,46.25
21,37.00,-62.57,4,0.9001,63,46.25
22,-345.00,-75.41,5,0.8956,145,46.25
23,-300.00,-85.17,6,0.8911,100,46.25
24,68.00,-78.79,6,0.8867,32,46.25
25,-16.00,-76.28,6,0.8822,116,46.25
26,7.00,-73.08,6,0.8778,93,46.25
27,-4.00,-70.52,6,0.8734,104,46.25
28,17.00,-67.39,6,0.8691,83,46.25
29,57.00,-63.10,6,0.8647,43,46.25
30,55.00,-59.17,6,0.8604,45,46.25
31,74.00,-54.87,6,0.8561,26,46.25
32,97.00,-50.12,6,0.8518,3,46.25
33,98.00,-45.64,6,0.8475,2,46.25
34,12.00,-43.94,6,0.8433,88,46.25
35,49.00,-41.29,6,0.8391,51,46.25
36,-150.00,-44.31,6,0.8349,150,46.25
37,-150.00,-47.16,6,0.8307,150,46.25
38,-300.00,-53.82,7,0.8266,100,46.25
39,-300.00,-60.13,8,0.8224,100,46.25
40,-150.00,-62.38,8,0.8183,150,46.25
41,85.00,-58.78,8,0.8142,15,46.25
42,-150.00,-60.95,8,0.8102,150,46.25
43,37.00,-58.67,8,0.8061,63,46.25
44,85.00,-55.41,8,0.8021,15,46.25
45,69.00,-52.64,8,0.7981,31,46.25
46,7.00,-51.35,8,0.7941,93,46.25
47,-150.00,-53.45,8,0.7901,150,46.25
48,19.00,-51.94,8,0.7862,81,46.25
49,35.00,-50.16,8,0.7822,65,46.25
50,82.00,-47.52,8,0.7783,18,46.25
51,-150.00,-49.53,8,0.7744,150,46.25
52,7.00,-48.44,8,0.7705,93,46.25
53,-150.00,-50.36,8,0.7667,150,46.25
54,-150.00,-52.20,8,0.7629,150,46.25
55,-150.00,-53.98,8,0.7590,150,46.25
56,92.00,-51.38,8,0.7553,8,46.25
57,-150.00,-53.11,8,0.7515,150,46.25
58,-300.00,-57.36,9,0.7477,100,46.25
59,-150.00,-58.93,9,0.7440,150,46.25
60,-150.00,-60.45,9,0.7403,150,46.25
61,-150.00,-61.92,9,0.7366,150,46.25
62,-150.00,-63.34,9,0.7329,150,46.25
63,-150.00,-64.71,9,0.7292,150,46.25
64,41.00,-63.06,9,0.7256,59,46.25
65,91.00,-60.69,9,0.7219,9,46.25
66,66.00,-58.77,9,0.7183,34,46.25
67,-150.00,-60.13,9,0.7147,150,46.25
68,90.00,-57.93,9,0.7112,10,46.25
69,96.00,-55.70,9,0.7076,4,46.25
70,93.00,-53.57,9,0.7041,7,46.25
71,87.00,-51.59,9,0.7005,13,46.25
72,-150.00,-52.96,9,0.6970,150,46.25
73,-150.00,-54.29,9,0.6936,150,46.25
74,-150.00,-55.58,9,0.6901,150,46.25
75,28.00,-54.47,9,0.6866,72,46.25
76,66.00,-52.88,9,0.6832,34,46.25
77,93.00,-50.99,9,0.6798,7,46.25
78,31.00,-49.94,9,0.6764,69,46.25
79,-150.00,-51.20,9,0.6730,150,46.25
80,82.00,-49.54,9,0.6696,18,46.25
81,-150.00,-50.78,9,0.6663,150,46.25
82,69.00,-49.32,9,0.6630,31,46.25
83,-150.00,-50.53,9,0.6597,150,46.25
84,-14.00,-50.10,9,0.6564,114,46.25
85,4.00,-49.46,9,0.6531,96,46.25
86,-150.00,-50.63,9,0.6498,150,46.25
87,-150.00,-51.77,9,0.6466,150,46.25
88,-150.00,-52.89,9,0.6433,150,46.25
89,-16.00,-52.47,9,0.6401,116,46.25
90,-150.00,-53.56,9,0.6369,150,46.25
91,99.00,-51.88,9,0.6337,1,46.25
92,-150.00,-52.95,9,0.6306,150,46.25
93,9.00,-52.28,9,0.6274,91,46.25
94,-150.00,-53.32,9,0.6243,150,46.25
95,59.00,-52.14,9,0.6211,41,46.25
96,-150.00,-53.16,9,0.6180,150,46.25
97,-150.00,-54.15,9,0.6149,150,46.25
98,-150.00,-55.13,9,0.6119,150,46.25
99,-150.00,-56.09,9,0.6088,150,46.25
100,-150.00,-57.03,9,0.6058,150,46.25
101,-38.00,-57.72,9,0.6027,138,46.25
102,-150.00,-59.32,9,0.5997,150,46.25
103,-150.00,-61.46,9,0.5967,150,46.25
104,59.00,-61.67,9,0.5937,41,46.25
105,-150.00,-61.67,9,0.5908,150,46.25
106,98.00,-60.67,9,0.5878,2,46.25
107,-150.00,-59.17,9,0.5849,150,46.25
108,-150.00,-59.17,9,0.5820,150,46.25
109,-150.00,-57.67,9,0.5790,150,46.25
110,-150.00,-59.66,9,0.5762,150,46.25
111,-150.00,-60.99,9,0.5733,150,46.25
112,91.00,-60.23,9,0.5704,9,46.25
113,98.00,-59.03,9,0.5676,2,46.25
114,96.00,-56.57,9,0.5647,4,46.25
115,-150.00,-58.18,9,0.5619,150,46.25
116,95.00,-54.23,9,0.5591,5,46.25
117,-150.00,-56.52,9,0.5563,150,46.25
118,-150.00,-57.80,9,0.5535,150,46.25
119,78.00,-54.02,9,0.5507,22,46.25
120,-150.00,-55.75,9,0.5480,150,46.25
121,-150.00,-57.62,9,0.5452,150,46.25
122,-150.00,-55.67,9,0.5425,150,46.25
123,-150.00,-54.17,9,0.5398,150,46.25
124,-150.00,-56.35,9,0.5371,150,46.25
125,-150.00,-57.69,9,0.5344,150,46.25
126,73.00,-57.03,9,0.5318,27,46.25
127,-150.00,-58.49,9,0.5291,150,46.25
128,-150.00,-60.16,9,0.5264,150,46.25
129,-150.00,-62.23,9,0.5238,150,46.25
130,57.00,-62.21,9,0.5212,43,46.25
131,-150.00,-64.45,9,0.5186,150,46.25
132,-150.00,-66.92,9,0.5160,150,46.25
133,-150.00,-69.40,9,0.5134,150,46.25
134,72.00,-68.80,9,0.5108,28,46.25
135,-150.00,-70.79,9,0.5083,150,46.25
136,94.00,-68.35,9,0.5058,6,46.25
137,-150.00,-68.35,9,0.5032,150,46.25
138,-150.00,-66.85,9,0.5007,150,46.25
139,-13.00,-63.98,9,0.4982,113,46.25
140,11.00,-62.37,9,0.4957,89,46.25
141,-150.00,-64.72,9,0.4932,150,46.25
142,-150.00,-64.72,9,0.4908,150,46.25
143,-150.00,-66.59,9,0.4883,150,46.25
144,-150.00,-68.94,9,0.4859,150,46.25
145,-150.00,-71.13,9,0.4834,150,46.25
146,-150.00,-72.70,9,0.4810,150,46.25
147,-150.00,-72.70,9,0.4786,150,46.25
148,80.00,-72.09,9,0.4762,20,46.25
149,-150.00,-73.94,9,0.4738,150,46.25
150,-150.00,-76.26,9,0.4715,150,46.25
151,99.00,-73.77,9,0.4691,1,46.25
152,-150.00,-75.34,9,0.4668,150,46.25
153,-150.00,-75.34,9,0.4644,150,46.25
154,-150.00,-75.34,9,0.4621,150,46.25
155,82.00,-73.02,9,0.4598,18,46.25
156,-150.00,-75.44,9,0.4575,150,46.25
157,-150.00,-75.44,9,0.4552,150,46.25
158,70.00,-71.74,9,0.4529,30,46.25
159,97.00,-69.27,9,0.4507,3,46.25
160,-150.00,-69.27,9,0.4484,150,46.25
161,-150.00,-69.27,9,0.4462,150,46.25
162,86.00,-66.91,9,0.4440,14,46.25
163,28.00,-65.13,9,0.4417,72,46.25
164,-150.00,-67.04,9,0.4395,150,46.25
165,-150.00,-69.45,9,0.4373,150,46.25
166,-38.00,-70.49,9,0.4351,138,46.25
167,86.00,-68.13,9,0.4330,14,46.25
168,-150.00,-70.53,9,0.4308,150,46.25
169,-150.00,-72.99,9,0.4286,150,46.25
170,-25.00,-74.17,9,0.4265,125,46.25
171,-150.00,-76.54,9,0.4244,150,46.25
172,-150.00,-76.54,9,0.4223,150,46.25
173,71.00,-74.33,9,0.4201,29,46.25
174,65.00,-72.18,9,0.4180,35,46.25
175,98.00,-71.48,9,0.4159,2,46.25
176,99.00,-71.15,9,0.4139,1,46.25
177,56.00,-71.52,9,0.4118,44,46.25
178,49.00,-71.34,9,0.4097,51,46.25
179,-150.00,-71.34,9,0.4077,150,46.25
180,-347.00,-75.63,10,0.4057,147,46.25
181,97.00,-73.16,10,0.4036,3,46.25
182,93.00,-72.92,10,0.4016,7,46.25
183,-300.00,-74.42,11,0.3996,100,46.25
184,88.00,-73.40,11,0.3976,12,46.25
185,-150.00,-74.94,11,0.3956,150,46.25
186,-150.00,-74.94,11,0.3936,150,46.25
187,99.00,-72.45,11,0.3917,1,46.25
188,63.00,-70.32,11,0.3897,37,46.25
189,99.00,-69.17,11,0.3878,1,46.25
190,-150.00,-69.17,11,0.3858,150,46.25
191,-150.00,-71.66,11,0.3839,150,46.25
192,-26.00,-70.42,11,0.3820,126,46.25
193,87.00,-69.64,11,0.3801,13,46.25
194,-150.00,-69.64,11,0.3782,150,46.25
195,-150.00,-71.73,11,0.3763,150,46.25
196,-150.00,-71.73,11,0.3744,150,46.25
197,-150.00,-71.73,11,0.3725,150,46.25
198,22.00,-70.01,11,0.3707,78,46.25
