episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,81.00,81.00,0,0.9950,19,81.00
2,-220.00,-69.50,0,0.9900,150,81.00
3,37.00,-34.00,0,0.9851,63,81.00
4,73.00,-7.25,0,0.9801,27,81.00
5,-32.00,-12.20,0,0.9752,92,81.00
6,-262.00,-53.83,0,0.9704,142,81.00
7,-13.00,-48.00,0,0.9655,33,81.00
8,-372.00,-88.50,1,0.9607,122,81.00
9,-300.00,-112.00,2,0.9559,100,81.00
10,-300.00,-130.80,3,0.9511,100,81.00
11,54.00,-114.00,3,0.9464,46,81.00
12,-130.00,-115.33,3,0.9416,150,81.00
13,-45.00,-109.92,3,0.9369,95,81.00
14,72.00,-96.93,3,0.9322,28,81.00
15,49.00,-87.20,3,0.9276,51,81.00
16,81.00,-76.69,3,0.9229,19,81.00
17,-22.00,-73.47,3,0.9183,102,81.00
18,-13.00,-70.11,3,0.9137,53,81.00
19,-333.00,-83.95,4,0.9092,123,81.00
20,97.00,-74.90,4,0.9046,3,81.00
21,80.00,-67.52,4,0.9001,20,81.00
22,72.00,-61.18,4,0.8956,28,81.00
23,91.00,-54.57,4,0.8911,9,81.00
24,26.00,-51.21,4,0.8867,44,81.00
25,-170.00,-55.96,4,0.8822,150,81.00
26,97.00,-50.08,4,0.8778,3,81.00
27,73.00,-45.52,4,0.8734,27,81.00
28,-300.00,-54.61,5,0.8691,100,81.00
29,-362.00,-65.21,6,0.8647,132,81.00
30,40.00,-61.70,6,0.8604,60,81.00
31,-300.00,-69.39,7,0.8561,100,81.00
32,-300.00,-76.59,8,0.8518,100,81.00
33,-46.00,-75.67,8,0.8475,66,81.00
34,32.00,-72.50,8,0.8433,68,81.00
35,-100.00,-73.29,8,0.8391,150,81.00
36,-98.00,-73.97,8,0.8349,148,81.00
37,31.00,-71.14,8,0.8307,69,81.00
38,64.00,-67.58,8,0.8266,36,81.00
39,-250.00,-72.26,8,0.8224,150,81.00
40,-210.00,-75.70,8,0.8183,150,81.00
41,-190.00,-78.49,8,0.8142,150,81.00
42,-160.00,-80.43,8,0.8102,150,81.00
43,-8.00,-78.74,8,0.8061,98,81.00
44,99.00,-74.70,8,0.8021,1,81.00
45,-300.00,-79.71,9,0.7981,100,81.00
46,73.00,-76.39,9,0.7941,27,81.00
47,-40.00,-75.62,9,0.7901,90,81.00
48,84.00,-72.29,9,0.7862,16,81.00
49,-170.00,-74.29,9,0.7822,150,81.00
50,92.00,-70.96,9,0.7783,8,81.00
51,-300.00,-75.45,10,0.7744,100,81.00
52,61.00,-72.83,10,0.7705,39,81.00
53,-300.00,-77.11,11,0.7667,100,81.00
54,-300.00,-81.24,12,0.7629,100,81.00
55,97.00,-78.00,12,0.7590,3,81.00
56,-28.00,-77.11,12,0.7553,118,81.00
57,99.00,-74.02,12,0.7515,1,81.00
58,12.00,-72.53,12,0.7477,68,81.00
59,69.00,-70.14,12,0.7440,31,81.00
60,-300.00,-73.97,13,0.7403,100,81.00
61,93.00,-71.23,13,0.7366,7,81.00
62,-300.00,-74.92,14,0.7329,100,81.00
63,-200.00,-76.90,14,0.7292,150,81.00
64,-250.00,-79.61,14,0.7256,150,81.00
